Author Name,Affiliation
David Schroeder,"Univ. of Minnesota, Minneapolis, MN, USA"
David Selassie,"Comput. Sci. Dept., Stanford Univ., Stanford, CA, USA"
David T. Kao,"NASA Ames Res. Center, Moffett Field, CA, USA"
David Trimm,"Univ. of Maryland, Baltimore County (UMBC), Baltimore, MD, USA"
David Turo,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
David W. Robertson,"Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA"
David Watson,"IBM European Visualization Centre, Winchester, UK"
Davood Rafiei,"Dept. of Comput. Sci., Alberta Univ., Edmonton, Alta., Canada"
Dean F. Jerding,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Deb Banerjee,"Fluent Inc., Lebanon, NH, USA"
Deborah Silver,"Comput. Eng., Rutgers Univ., Piscataway, NJ, USA"
Debra Dooley,"Dept. of Comput. Sci., Utah Univ., Salt Lake City, UT, USA"
Del Lamb,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Denis Larkin,"Royal Veterinary College, University of London"
Dennis J. Bouvier,"Southern Illinois Univ. Edwardsville, Edwardsville, IL"
Dennis Jen,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Dennis P. Groth,Indiana University
Deok Gun Park,"University of Maryland, College Park, MD, USA"
Derek Bradley,Carleton University
Derek Overby,"Dept. of Comput. Sci. & Eng., Texas A&M Univ., College Station, TX, USA"
Desney S. Tan,"Microsoft Res., Redmond"
Diane Cluxton,"SSS Research, Inc."
Diane Tang,"Stanford Univ., CA, USA"
Diansheng Guo,"Dept. of Geogr., Univ. of South Carolina, Columbia, WA, USA"
Dieter Hönigmann,"Adv. Comput. Vision GmbH, ACV, Vienna, Austria"
Dieter Lasser,"Fachbereich Inf., Kaiserslautern Univ., Germany"
Dilip Mathew Thomas,"Dept. of Comput. Sci. & Autom., Indian Inst. of Sci., Bangalore, India"
Dinoj Surendran,University of Chicago
Dirc Rose,"Visualization & Interactive Syst. Group, Stuttgart Univ., Germany"
Dirk Bartz,"Visual Comput. for Medicine, Eberhard-Karls-Univ. Tubingen, Germany"
Dirk Bauer,"Dept. of Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Dirk J. Lehmann,"Univ. of Magdeburg, Magdeburg, Germany"
Di Weng,State Key Lab of CAD & CGZhejiang University
Di Yang,"Worcester Polytech. Inst., Worcester"
Doantam Phan,"Stanford Univ., CA, USA"
Dominic Schneider,"Leipzig Univ., Leipzig"
Dominik Jäckle,"Univ. of Konstanz, Konstanz, Germany"
Dominik Moritz,University of Washington
Dominik Sacha,"University of Konstanz, Germany"
Dominique Brodbeck,"Macrofocus GmbH, Zurich, Switzerland"
Donald H. House,"Texas A&M Univ., College Station, TX, USA"
Donald L. Brittain,"Wavefront Technol. Inc., Santa Barbara, CA, USA"
Don Dovey,"Lawrence Livermore Nat. Lab., CA, USA"
Donghao Ren,"University of California, Santa Barbara"
Dong Hyun Jeong,"Univ. of the District of Columbia, Washington, DC, USA"
Dongxing Teng,"Inst. of Software, Beijing, China"
Dongyu Liu,Zhejiang UniversityHong Kong University of Science and Technology
Donna J. Cox,National Center for Supercomputing Applications
Donna L. Gresh,"IBM T.J. Watson Res. Center, Yorktown Heights, NY, USA"
Dóra Erdös,"Data Min. & Web Search Group, Hungarian Acad. of Sci., Budapest, Hungary"
Dorit Merhof,"Dept. of Neurosurgery, Univ. Erlangen"
Doug Kimelman,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Douglas M. Ranken,"Los Alamos Nat. Lab., NM, USA"
Douglass Davis,"GVU Center, Georgia Inst. of Technol., Atlanta, GA, USA"
Dru Clark,"Supercomput. Center, California Univ., San Diego, La Jolla, CA, USA"
Duncan Stevenson,"CSIRO, Canberra, ACT, Australia"
E. Delahaye,"International Seismological Centre, UK"
E. Wes Bethel,"Lawrence Berkeley Nat. Lab., California Univ."
Eamonn Maguire,"Dept. of Comput. Sci., Univ. of Oxford, Oxford, UK"
Eben Myers,"Platform Digital, LLC"
Ed Boring,"Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA"
Ed Huai-hsin Chi,"Palo Alto Res. Center, CA"
Eduard Deines,"IRTG, Kaiserslautern"
Eduard Gröller,"TU Wien, Vienna, Austria"
Eduardo Hueso,Brown University
Edward Clarkson,"Georgia Tech, Atlanta, GA, USA"
Edward Segel,"Stanford Univ., Stanford, CA, USA"
Edward Swing,"Vision Syst. & Technol., Inc., NJ, USA"
Egemen Tanin,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
Eirik Bakke,"Comput. Sci. & Artificial Intell. Lab. (CSAIL), MIT, Cambridge, MA, USA"
Eleanor Boyle Chlan,"Whiting Sch. of Eng., Johns Hopkins Univ., Baltiomore, MD, USA"
Eleftherios Koutsofios,"Inf. Visualization Res., AT&T Labs., Florham Park, NJ, USA"
Elena Fanea,"Dept. of Comput. Sci., Calgary Univ., Alta., Canada"
Eliot Feibush,"Sarnoff Corp., Princeton, NJ, USA"
Eli Packer,"IBM Res. Haifa Lab., Haifa, Israel"
Elisha Sacks,"Purdue Univ., West Lafayette, IN, USA"
Eli T. Brown,DePaul University
Elizabeth Braunstein,"Mercyhurst Coll., USA"
Elizabeth G. Hetzler,"Pacific Northwest Nat. Lab., Richland, WA, USA"
Elizabeth M. Wenzel,"NASA Ames Res. Center, Moffett Field, CA, USA"
Ellen Diep,Tufts University
Elmar Eisemann,Delft University of Technology
Emanuele Santos,"Sci. Comput. & Imaging (SCI) Inst., Univ. of Utah, Salt Lake City, UT, USA"
Emden R. Gansner,"AT&T Labs., NJ"
Emily Wall,"Georgia Institute of Technology, Atlanta, GA, USA"
Emmanuel Frécon,"Swedish Inst. of Comput. Sci., Sweden"
Enrico Bertini,New York University
Enrico Gobbetti,"CRS4, Center for Advanced Studies, Research and Development in Sardinia"
Erdem Kaya,"Sabanci University, Turkey"
Eric A. Bier,"Palo Alto Res. Center, Palo Alto, CA"
Eric A. Wernert,"Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA"
Eric B. Lum,"California Univ., Davis, CA, USA"
Eric C. Alexander,"Univ. of Wisconsin-Madison, Madison, WI, USA"
Eric Christopher Wyatt,Northern Arizona University
Eric Grosse,"AT&T Bell Lab., Murray Hill, NJ, USA"
Eric Luke,"Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA"
Eric T. Stanton,Sandia National Laboratories
Erika Darling,The Mitre Corporation
Erik Sundén,Linkoping University
Erik Trostmann,"Fraunhofer Institute for Factory Operation and Automation IFF, Germany"
Ernst Kleiberg,Eindhoven University of Technology
Erwin Keeve,"Telecommun. Inst., Erlangen-Nurnberg Univ., Germany"
Eston Schweickart,"Computer Science department, Cornell University"
Eugene Zhang,"GVU Center & Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Eun Ju Nam,"Stony Brook Univ., Stony Brook"
Evan M. Peck,Bucknell University
Evanthia Dimara,Inria and UniversitÃ© Paris-Saclay
Eytan Adar,School of Information at the University of Michigan
Ezekiel S. Bhasker,"Univ. of California, Irvine"
F. David Fracchia,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada"
Fabian Beck,"University of Stuttgart, Germany"
Fabian Bendix,"VRVis Res. Center, Vienna, Austria"
Fabio Dias,"Universidade de SÃ¥o Paulo, SÃ¥o Carlos, Brazil"
Fábio Miranda,New York University
Faisal Taher,Lancaster University
Fakir S. Nooruddin,Georgina Tech
Fan Du,"University of Maryland, United States of America"
Fan Hong,"Minist. of Educ., Peking Univ., Beijing, China"
Fanny Chevalier,Inria
Fan-Yin Tzeng,"Dept. of Comput. Sci., California Univ., Davis, CA, USA"
Farah Kamw,Kent State University
Fatih Korkmaz,"t Konstanz, Germany"
Fei Wang,Zhejiang University
Felipe S. L. G. Duarte,"Inst. of Math. & Comput. Sci., Sao Carlos, Brazil"
Felix Ritter,MeVis GmbH
Feng Qiu,"Stony Brook Univ., Stony Brook"
Fereshteh Amini,"University of Manitoba, Canada"
Fernanda B. Viégas,"IBM Res., Hawthorne, CA, USA"
Fernando Grinstein,"US Naval Res. Lab., Washington, DC, USA"
Fernando Vega Higuera,"Dept. of Neurosurg. & Comput. Graphics Group, Univ. of Erlangen, Germany"
Fernando Vieira Paulovich,"Univ. de Sao Paulo, Sa&#x0303"
Filip Dabek,"National Intrepid Center of Excellence, Walter Reed National Military Medical Center, Bethesda, MD"
Filip Sadlo,"Heidelberg University, Germany"
Firdaus Janoos,"Ohio State Univ., Columbus"
Florian Ferstl,Technical University of Munich
Florian Friess,"Visualization Research Center (VISUS), University of Stuttgart, Germany"
Florian Heimerl,"Inst. for Visualization & Interactive Syst., Univ. Stuttgart, Stuttgart, Germany"
Florian Jürgen Gerhardt,"Tech. Univ. of Kaiserslautern, Kaiserslautern"
Florian Lindemann,"Visualization & Comput. Graphics Res. Group, Univ. of Munster, Munster, Germany"
Florian Mansmann,"Univ. of Konstanz, Konstanz"
Florian Spechtenhauser,VRVis Research Center
Francine Evans,"State Univ. of New York, Stony Brook, NY, USA"
Frank Enders,"Dept. of Neurosurg., Erlangen-Nurnberg Univ., Erlangen, Germany"
Frank Grave,"Inst. for Theor. Phys. & VISUS, Univ. of Stuttgart, Stuttgart"
Frank J. Post,"Fac. of Tech. Math. & Inf., Delft Univ. of Technol., Netherlands"
Frank Michel,"IRTG Kaiserslautern, Kaiserslautern"
Frank Staals,"MADALGO, Aarhus University"
Frank Suits,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Frank van Ham,"IBM-ILOG Res., Gentilly, France"
Frans Vos,"Delft Univ. of Technol., Netherlands"
Franz Sauer,"Univ. of California, Davis, Davis, CA, USA"
Fred Olislagers,"Intell. Syst. Lab. Amsterdam, Univ. of Amsterdam, Amsterdam, Netherlands"
Fujio Tsutsumi,Central Research Institute of Electric Power Industry
G. Celniker,"Schlumberger Lab. for Comput. Sci., Austin, TX, USA"
G. David Kerlick,"Boeing Inf. & Support Services Res. & Technol., Bellevue, WA, USA"
G. Elisabeta Marai,Brown University
Gábor Domokos,"Dept. of Strength of Mater., Tech. Univ. Budapest, Hungary"
Gabriel Mistelbauer,"Vienna Univ. of Technol., Vienna, Austria"
Gabriel Taubin,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Gareth Daniel,"Univ. of Wales Swansea, UK"
Gary K. L. Tam,Swansea University
Gary King,Harvard Institute for Quantitative Social Sciences
Gautam Kumar,"British Columbia Univ., Vancouver, BC"
Gene Golovchinsky,"Dept. of Ind. Eng., Toronto Univ., Ont., Canada"
Gennady L. Andrienko,"Fraunhofer Inst., Univ. of Bonn, Bonn, Germany"
Geoffrey M. Draper,"Sch. of Comput., Univ. of Utah, Salt Lake City, UT"
Geoffrey P. Ellis,"Lancaster Univ, Lancaster"
George G. Robertson,"Microsoft Res., Redmond, WA"
George S. Davidson,Sandia National Laboratories
Georges G. Grinstein,"Univ. of Massachusetts, Lowell, MA, USA"
Georges-Pierre Bonneau,"CNRS, Univ. of Grenoble, France"
Georgia Albuquerque,"Comput. Graphics Lab., TU, Braunschweig, Germany"
Georgios Sakas,"Fraunhofer-Inst. for Comput. Graphics, Darmstadt, Germany"
Georg Zotti,"Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol."
Gerald Gainant,University of Bordeaux 1
Geraldine E. Rosario,"Dept. of Comput. Sci., Worcester Polytech. Inst., USA"
Gerald L. Lohse,"Cognitive Sci. & Machine Intelligence Lab., Michigan Univ., Ann Arbor, MI, USA"
Gerald W. Edgar,"Boeing Comput. Services, Seattle, WA, USA"
Gerard Lommerse,Technische Universiteit Eindhoven
Gerik Scheuermann,"Dept. of Comput. Sci., Kaiserslautern Univ., Germany"
Gevorg Grigoryan,"Maryland Univ., Baltimore, MD, USA"
Gill Barequet,"Dept. of Comput. Sci., Johns Hopkins Univ., Baltimore, MD, USA"
Giovane R. Kuhn,"Inst. de Inf., UFRGS, Porto Alegre"
Gitta Domik,"Paderborn Univ., Germany"
Gleb Bahmutov,Purdue University
Gokul Varadhan,"North Carolina Univ., Chapel Hill, NC, USA"
Gordon Erlebacher,"Sch. of Computational Sci. & Inf. Technol., Florida State Univ., Tallahassee, FL, USA"
Gordon L. Kindlmann,"Univ. of Chicago, Chicago, IL, USA"
Gordon V. Bancroft,"Sterling Federal Syst. Inc., Palo Alto, CA, USA"
Graham J. Wills,"Lucent Technol., AT&T Bell Labs., Naperville, IL, USA"
Greg Abram,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Greg Humphreys,"Dept. of Comput. Sci., Stanford Univ., CA, USA"
Greg Johnson,University of Texas at Austin
Gregorio Palmas,"Max Planck Inst. for Inf., Saarbrucken, Germany"
Gregor Schlosser,"ICM, Mannheim Univ., Germany"
Gregory Cipriano,"Dept. of Comput. Sci., Univ. of Wisconsin, Madison, WI, USA"
Gregory Guterman,"University of California, Davis"
Gregory Heinlein,"The Department of Mechanical and Aerospace Engineering, The Ohio State University"
Gregory L. Schussman,"Stanford Linear Accelerator Center, Menlo Park, CA, USA"
Gregory M. Nielson,"Arizona Univ., Tucson, AZ, USA"
Gregory P. Johnson,Intel Corp
Greg Ross,"Dept. of Comput. Sci., Glasgow Univ., UK"
Guangfeng Ji,"Ohio State Univ., Columbus, OH"
Guang Lin,Purdue University
Guangyu Zou,"Wayne State Univ., Detroit, MI, USA"
Guang-Zhong Yang,"Dept. of Comput., Imperial Coll., London Univ., UK"
Gudrun Klinker,"Digital Equipment Corp., Cambridge, MA, USA"
Guido Reina,"Visualization Research Center (VISUS), University of Stuttgart, Germany"
Guido Tack,"Faculty of Information Technology, Monash University"
Gunnar Läthén,"Center for Med. Image Sci. & Visualization (CMIV), Linkoping Univ., Linkoping, Sweden"
Günter Knittel,"Wilhelm-Schickard-Inst. fur Inf., Tubingen Univ., Germany"
Gunther H. Weber,"Lawrence Berkeley Nat. Lab., Berkeley"
Guoray Cai,"Penn State Univ., University Park"
Guo-Shi Li,"Dept. of Comput. & Inf. Sci., Ohio State Univ., USA"
Guru M. Parulkar,"Washington Univ., St. Louis, WA"
Gustavo M. Machado,"UFRGS, Porto Alegre, Brazil"
Gustavo Mello Machado,"Univ. of Stuttgart, Stuttgart, Germany"
Guy Albertelli,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Guy W. Oliver,"Long Marine Lab., California Univ., Santa Cruz, CA, USA"
Gyorgy Fekete,"NASA, Goddard Space Flight Center, Greenbelt, MD"
H. F. Mayer,"Joanneum Res., Graz, Austria"
H. Fang,University of Oxford and International Seismological Centre
H. Videau,"Ecole Polytech., CNRS, France"
H. W. Park,"Dept. of Electr. Eng., Washington Univ., Seattle, WA, USA"
Hadley Wickham,"Rice Univ., Houston, TX, USA"
Haesun Park,"Georgia Institute of Technology, Atlanta, GA, USA"
Haeyong Chung,"Univ. of Alabama Huntsville, Huntsville, AL, USA"
Haibin Liu,"IBM Research, United States of America"
Haidong Chen,"State Key Lab. of CAD&CG, Zhejiang Univ., Hangzhou, China"
Hai Lin,"CG, Zhejiang Univ., Hangzhou, China"
Haim Levkowitz,"Dept. of Comput. Sci., Lowell Univ., MA"
Hai Tao,"NSF Eng. Res. Center for Comput. Field Simulation, Mississippi Univ., MS, USA"
Haitao Zhang,"Stony Brook Univ., NY"
Haiyan Yang,Hong Kong University of Science and Technology
Hajar Hamidian,Wayne State University
Haleh Hagh-Shenas,"Boston Sci. Corp., Natick"
Halldór Janetzko,University of Konstanz
Hamish Carr,University of Leeds
Han Chen,"Comput. Sci., Princeton Univ., NJ, USA"
Hanghang Tong,"School of Computing, Informatics and Decision Systems EngineeringArizona State University"
Hang Yu,National University of Singapore
Hangzai Luo,"East China Normal Univ., Shanghai"
Hank Childs,"California Univ., Davis, CA, USA"
Hannah Kim,Georgia Institute of Technology
Hanqi Guo,"Math. & Comput. Sci. Div., Argonne Nat. Lab., Argonne, IL, USA"
Hans Drevermann,"CERN, Geneva, Switzerland"
Hans-Georg Pagendarm,"DLR, Gottingen, Germany"
Hans Hagen,DFKI GmbH
Hans-Heino Ehricke,"Wilhelm-Schickard-Inst. fuer Inf., Tubingen Univ., Germany"
Hansjörg Schmauder,"VISUS, University of Stuttgart"
Hans-Jörg Schulz,"University of Rostock, Germany"
Hanspeter Pfister,Harvard Paulson SEAS
Han-Wei Shen,"The Department of Computer Science and Engineering, GRAVITY research group, The Ohio State University"
Haoling Dong,"Coll. of Comput. Sci., Zhejiang Univ., Hangzhou, China"
Hao Zhou,"Dept. of Stat., Univ. of Michigan, Ann Arbor, MI, USA"
Harald Bosch,"Visualization & Interactive Syst., Univ. of Stuttgart, Stuttgart, Germany"
Harald Garcke,"Technical University Eindhoven, Eindhoven, NL"
Harald Obermaier,"Inst. for Data Anal. & Visualization (IDAV), Univ. of California, Davis, CA, USA"
Harald Piringer,VRVis Research Center
Harinarayan Krishnan,"Inst. of Data Anal. & Visualization, Univ. of California, Davis, CA, USA"
Harish Doraiswamy,New York University
Harris Lewin,"University of California, Davis"
Hartmut Ziegler,"Univ. of Konstanz, Konstanz, Germany"
Heather Lipford,"Univ. of North Carolina at Charlotte, Charlotte, NC, USA"
Heidi Lam,"Univ. of British Columbia, Vancouver, BC"
Heike Hofmann,"Stat., Iowa State Univ., Ames, IA, USA"
Heike Leitte,"Univ. of Leipzig, Leipzig, Germany"
Helen H. Hu,University of Utah
Helen Wright,"Dept. of Comput. Sci., Hull Univ., UK"
He Liu,"Hong Kong Univ. of Sci. & Technol., Hong Kong, China"
Helwig Hauser,"Department of Informatics, University of Bergen, Norway"
Hendrik Strobelt,Harvard Paulson SEAS
Henk Huitema,"Center for Math. & Comput. Sci., Amsterdam, Netherlands"
Henrik Buchholz,"Hasso-Plattner Inst., Potsdam Univ., Germany"
Henrik Weimer,"Rice Univ., Houston, TX, USA"
Herbert Edelsbrunner,"Dept. of Comput. Sci. & Math., Duke Univ., Durham, NC, USA"
Hessam Sokooti,Leiden University Medical Center
Hidekazu Shiozawa,"Dept. of Inf. & Comput. Sci., Keio Univ., Yokohama, Japan"
Holger Theisel,"Visual Computing group at the University of Magdeburg, Germany"
Holly E. Rushmeier,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Ho-Lun Cheng,"Sch. of Comput., Nat. Univ. of Singapore, Singapore"
Hong Chen,"SAS Inst. Inc., Cary, NC, USA"
Honghui Mei,Zhejiang University
Hong Ma,"Brookhaven Nat. Lab., Upton, NY, USA"
Hongsen Liao,"School of Software, Tsinghua National Laboratory for Information Science and Technology, Tsinghua University"
Hongwei Li,"Hong Kong Univ. of Sci. & Technol., Hong Kong"
Horst K. Hahn,"MeVis-Center for Med. Diagnostic Syst., Bremen, Germany"
Hossam Sharara,"Comput. Sci. Dept., Univ. of Maryland, College Park, MD, USA"
Ho Van Quan,"Dept. of Sci. & Technol., Linkoping Univ., Linkoping, Sweden"
Howard D. White,Drexel University
Hrvoje Ribicic,"VRVis Vienna, Vienna, Austria"
Hua Guo,"Dept. of Comput. Sci., Brown Univ., Providence, RI, USA"
Hualin Zhou,"Univ. of Wales, Swansea, UK"
Huamin Qu,Hong Kong University of Science and Technology
Hugues Hoppe,"Microsoft Res., USA"
Hui Xie,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Hui Zhang,"Pervasive Technol. Inst., Indiana Univ., Bloomington, IN, USA"
Hyunjoo Song,Seoul National University
Hyunmo Kang,"Univ. of Maryland, College Park"
I. Ari Sadarjoen,"Dept. of Comput. Sci., Delft Univ. of Technol., Netherlands"
Iain Dillingham,"giCentre, City Univ. London, London, UK"
Ian Bowman,"Sch. of Med., Lab. of Neuro Imaging, UCLA, Los Angeles, CA, USA"
Ian G. Angus,"Inf. & Support Services, Boeing Co., Seattle, WA, USA"
Ievgeniia Gutenko,"Computer Science Department, Stony Brook University, NY"
Ilknur Icke,"Grad. Center, City Univ. of New York, New York, NY, USA"
Ingmar Bitter,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Ingo Wald,Intel Corp
Ingrid Carlbom,"Digital Equipment Corp., Cambridge, MA, USA"
Ingrid Hotz,"IDAV, California Univ., Davis, CA, USA"
Inho Kim,"CISE Dept., Univ. of Florida, Gainesville, FL"
Insung Ihm,"Dept. of Comput. Sci., Sogang Univ., Seoul, South Korea"
Isaac Brewer,"Dept. of Geogr., Penn State Univ., PA, USA"
Ishwar Kulkarni,"Dept. of Comput. Sci., Univ. of California, Irvine, CA, USA"
Ismail Demir,"nchen, Germany"
Issac J. Trotts,"Center for Image Process. & Integrated Comput., California Univ., Davis, CA, USA"
Issei Fujishiro,"Dept. of Inf. Sci., Ochanomizu Univ., Tokyo, Japan"
Iulian Peca,"Fraunhofer Inst. for Intell. Anal. & Inf. Syst. (IAIS), Univ. of Bonn, Bonn, Germany"
Ivan Herman,"Centre for Math. & Comput. Sci., Amsterdam, Netherlands"
Ivan Kolesar,"Department of Informatics, University of Bergen, Norway"
Ivan Viola,"TU Wien, Austria"
J. Amstutz,Intel Corp
J. Burnetti,"Mitre Corp., McLean, VA, USA"
J. Edward Swan II,"Virtual Reality Lab., Naval Res. Lab., Washington, DC, USA"
J. Gunther,Intel Corp
J. Harris,"International Seismological Centre, UK"
J. Jeffers,Intel Corp
J. L. Pajon,"Inst. Francais due Petrole, Rueil Malmaison, France"
J. McLeod,"San Diego Supercomput. Center, CA, USA"
Jaakko Peltonen,"Helsinki Institute for Information Technology HIIT, Aalto University, University of Tampere, Finland"
Jackie Assa,"Dept. of Comput. Sci., Tel Aviv Univ., Israel"
Jaebum Kim,"Konkuk University, Seoul"
Jae Choi,"Georgetown Univ., Washington"
Jaegul Choo,Korea University
Jaemin Jo,"Seoul Nat. Univ., Seoul, South Korea"
Jae-wook Ahn,"Sch. of Inf. Sci., Univ. of Pittsburgh, Pittsburgh, PA"
Jagoda Walny,"Univ. of Calgary, Calgary, AB, Canada"
Jaime Montemayor,"Milton Eisenhower Res. Center, Johns Hopkins Univ. Appl. Phys. Lab., Laurel, MD"
James A. Wise,"Pacific Northwest Lab., Richland, WA, USA"
James Abello,"Rutgers Univ., New Brunswick, NJ"
James Agutter,University of Utah
James Helman,"Stanford Univ., CA, USA"
James J. Thomas,Pacific Northwest National Laboratory
James K. Rayson,"Mitre Corp., Bedford, MA, USA"
James L. Montine,"Alliant Comput. Syst., Littleton, MA, USA"
Jameson Miller,"Dept of Comput. Sci., North Carolina Univ., Chapel Hill, NC"
James P. Ahrens,"Adv. Comput. Lab., Los Alamos Nat. Lab., NM, USA"
James R. Eagan,Georgia Institute of Technology Atlanta
James S. Painter,"Adv. Comput. Lab., Los Alamos Nat. Lab., NM, USA"
James Slack,"Dept. of Comput. Sci., British Columbia Univ., Vancouver, BC"
James T. Kaba,"David Sarnoff Res. Center, Princeton, NJ, USA"
James T. Klosowski,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
James Tompkin,Harvard Paulson SEAS
James V. Miller,"Rensselaer Design. Res. Center, Rensselaer Polytech Inst., Troy, NY, USA"
James W. Durkin,"Program of Comput. Graphics, Cornell Univ., Ithaca, NY, USA"
Jan Byska,"Masaryk Univ., Brno, Czech Republic"
Janet M. Six,The University of Texas
Jane Wilhelms,"California Univ., Santa Cruz, CA, USA"
Jan Fischer,"Visual Comput. for Medicine, Tubingen Univ., Germany"
Jan-Henrik Haunert,"Univ. of Würzburg, Würzburg, Germany"
Janice E. Cuny,"Dept. of Comput. Sci., Massachusetts Univ., Amherst, MA, USA"
Janine Bennett,"Sandia Nat. Labs., Albuquerque, NM, USA"
Janko Dietzsch,"ZBIT, Univ. of Tubingen, Tubingen, Germany"
Jan Kretschmer,"Dept. of Comput. Graphics, FAU Erlangen, Erlangen, Germany"
Jan Reininghaus,"Zuse Inst. Berlin, Berlin, Germany"
Jan Zahálka,University of Amsterdam
Jarke J. van Wijk,"Eindhoven Univ. of Technol., Eindhoven, Netherlands"
Jaroslav Tyman,Georgia Institute of Technology
Jarry H. T. Claessen,"Eindhoven Univ. of Technol., Eindhoven, Netherlands"
Jason Alexander,Lancaster University
Jason Cantarella,"Georgia Univ., Athens, GA, USA"
Jason D. Walter,"Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA"
Jason D. Williams,Microsoft Research
Jason D. Wood,"Sch. of Comput. Studies, Leeds Univ., UK"
Jason Dykes,"giCentre, City University, London"
Jason Freund,"Silicon Graphics Inc., USA"
Jayesh Govindarajan,"Computer Science Dept., Worcester Polytechnic Institute, Worcester, MA"
Jay Takle,Dept. of Electr. &amp
Jean-Daniel Boissonnat,"I.N.R.I.A., Sophia-Antipolis, France"
Jean-Daniel Fekete,"Inria, Saclay, France"
Jean-Francois Im,"Ecole de Technol. Super., Montreal, QC, Canada"
Jean-Marie Favre,"Swiss Center for Sci. Comput., Switzerland"
Jean Scholtz,"Pacific Northwest Nat. Lab., Rockaway Beach, OR, USA"
Jean Sreng,"CEA LSI, Fontenay-aux-Roses"
Jed Marti,"Defense Group Inc., Salt Lake City, UT, USA"
Jeff Beddow,"Microsimulations Res., Minneapolis, MN"
Jeff P. Hultquist,"NASA Ames Res. Center, Moffett Field, CA, USA"
Jeffrey Brainerd,Blue Martini Software
Jeffrey Heer,University of Washington
Jeffrey Ho,"Beckman Inst. for Adv. Sci. & Technol., Illinois Univ., Urbana, IL, USA"
Jeffrey L. Korn,"Dept. of Comput. Sci., Princeton Univ., NJ, USA"
Jeffrey L. Posdamer,Sarnoff Corporation
Jeffrey LeBlanc,"Worcester Polytech. Inst., MA, USA"
Jennis Meyer-Spradow,"Visualization & Comput. Graphics Res. Group, Univ. of Munster, Munster"
Jen-Ping Chen,"The Department of Mechanical and Aerospace Engineering, The Ohio State University"
Jens Bauer,"Comput. Graphics & HCI Lab., Univ. of Kaiserslautern, Kaiserslautern, Germany"
Jens C. Trapp,"DLR, German Aerosp. Res. Establ., Gottingen, Germany"
Jens H. Krüger,"Comput. Graphics & Visualization Group, Technische Univ. Munchen"
Jens Kasten,"Zuse Inst. Berlin, Berlin, Germany"
Jens Schneider,Visual Computing Center(VCC)King Abdullah University of Science and Technology (KAUST)
Jeongjin Lee,Soongsil University
Jérémie Allard,"ID-IMAG, CNRS, France"
Jeremy Boy,"EnsadLab, Telecom ParisTech, Paris, France"
Jeremy J. Loomis,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Jerry Alan Fails,"Dept. of Comput. Sci., Maryland Univ."
Jessica Peter,"OCAD Univ., Canada"
Jesus J. Caban,"National Intrepid Center of Excellence, Walter Reed National Military Medical Center, Bethesda, MD"
Jianbo Peng,"New York Univ., NY, USA"
Jian Chen,"University of Maryland, Baltimore County, USA"
Jiang Zhang,"Key Laboratory of Machine Perception (Ministry of Education), and School of EECS, Peking University"
Jian Huang,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Jianlong Zhou,"Sch. of Inf. Technol., Univ. of Sydney, Sydney, NSW, Australia"
Jian Ma,Carnegie Mellon University
Jianning Wang,"Stony Brook Univ., NY, USA"
Jianyun Chai,"Sanei Co., Japan"
Jian Zhang,"Drexel Univ., Philadelphia, PA, USA"
Jian Zhao,Autodesk Research
Jiawan Zhang,"Sch. of Comput. Sci. & Technol., Tianjin Univ., Tianjin, China"
Jiaxi Hu,Wayne State University
Jiaxin Shi,"Dept. of Comp. Sci. & Tech., State Key Lab of Intell. Tech. & Sys.TNList LabCBICR Center"
Jibonananda Sanyal,"Geosystems Res. Inst., Mississippi State Univ., Starkville, MS, USA"
Jie Bao,"Microsoft Research, Beijing, China"
