Author Name,Affiliation
Andreas Sigfridsson,"Dept. of Medicine & Care, Linkoping Univ., Sweden"
Andrea Unger,"GFZ German Reserach Center For Geosci., Potsdam, Germany"
André Guéziec,"Multigen Paradigm, San Jose, CA, USA"
Andrei Jalba,"Univ. of Groningen, Groningen"
Andrei State,"North Carolina Univ., Chapel Hill, NC, USA"
Andrej Cedilnik,"Maryland Univ., Baltimore, MD, USA"
André Neubauer,"VRVis Res. Center, Vienna, Austria"
André Skupin,"Dept. of Geogr., New Orleans Univ., LA, USA"
Andres Monroy-Hernández,Microsoft
Andrew H. Stevens,The Center for Coastal and Ocean MappingThe University of New Hampshire
Andrew J. Hanson,"Dept. of Comput. Sci., Indiana Univ., Bloomington, IN, USA"
Andrew Mehler,"Dept. of Comput. Sci., Stony Brook Univ."
Andrew S. Forsberg,"Comput. Sci. Dept., Brown Univ., RI, USA"
Andrew T. Wilson,"Sandia Nat. Labs., Albuquerque, NM, USA"
Andrew Vande Moere,"Key Centre of Design Comput. & Cognition, Sydney Univ., NSW"
Andrzej Szymczak,"Colorado Sch. of Mines, Golden, CO, USA"
Andy Bardill,"Middlesex University, London, UK"
Angus Graeme Forbes,"Media Arts & Technol. Dept., Univ. of California, Santa Barbara, CA, USA"
Anish Chandak,"UNC-Chapel Hill, Chapel Hill, NC"
Anna Puig,"Polytech. Univ. of Catalonia, Spain"
Anna Tikhonova,"Univ. of California, Davis, CA, USA"
Anna Vilanova,Delft University of Technology
Annelot Kraima,Leiden University Medical Center
Anselm Spoerri,Rutgers University
Anshul Vikram Pandey,New York University
Anthony C. Robinson,"Dept. of Geogr., Pennsylvania State Univ., State College, PA"
Anthony J. Maeder,"Dept. of Comput. Sci., Monash Univ., Clayton, Vic., Australia"
Anthony J. Sherbondy,"Stanford Univ., CA, USA"
Antoni Sagrista,"Heidelberg University, Germany"
Anton L. Fuhrmann,"Inst. of Comput. Graphics, Wien Univ., Austria"
Anton Leuski,"Center for Intelligent Inf. Retrieval, Massachusetts Univ., Amherst, MA, USA"
Anton Strezhnev,Harvard Institute for Quantitative Social Sciences
Anushka Anand,"Dept. of Comput. Sci., Univ. of Illinois at Chicago, Chicago, IL, USA"
Anya Samak,"Dept. of Econ., Purdue Univ., West Lafayette, IN"
Anzu Hakone,Tufts University
Arie E. Kaufman,"Computer Science Department, Stony Brook University, Stony Brook, NY"
Ariel Shamir,"The Interdisciplinary Center, Herzliya, Israel"
Aritra Dasgupta,Pacific Northwest National Laboratory
Arlind Nocaj,University of Konstanz
Armin Kanitsar,"Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria"
Arno Krüger,"Dept. of Simulation & Graphics, Otto-von-Guericke-Univ. of Magdeburg, Magdeburg"
Artem Amirkhanov,"University of Applied Sciences, Upper Austria, Wels, Austria"
Artem Konev,"VRVis Vienna, Vienna, Austria"
Arthur D. Gregory,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Arthur van Goethem,"TU, Eindhoven"
Arvind Satyanarayan,Stanford University
Attila Gyulassy,"SCI Inst., Univ. of Utah, Salt Lake City, UT, USA"
Atul Rungta,"SCI Inst., Univ. of Utah, Salt Lake City, UT, USA"
Augusto Román,"Comput. Graphics Lab., Stanford Univ., CA, USA"
Avin Pattath,"Regional Visualization & Analytics Center, Purdue Univ., West Lafayette, IN"
Axel Friedrich,"Tech. Univ. Berlin, Germany"
Ayan Biswas,"GRAVITY group, The Ohio State University"
Ayellet Tal,"Dept. of Comput. Sci., Princeton Univ., NJ, USA"
Azam Khan,Autodesk Research
B. L. William Wong,"Middlesex University, London, UK"
Baba C. Vemuri,"Dept. of Comput. & Inf. Sci., Florida Univ., Gainesville, FL, USA"
Bahador Saket,Georgia Institute of Technology
Baining Guo,"Microsoft Research, United States of America"
Balázs Csébfalvi,"Dept. of Control Eng. & Inf. Technol., Budapest Univ., Hungary"
Baoquan Chen,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
